Date,world
1/22/20,555
1/23/20,654
1/24/20,941
1/25/20,1434
1/26/20,2118
1/27/20,2927
1/28/20,5578
1/29/20,6166
1/30/20,8234
1/31/20,9926
2/1/20,12038
2/2/20,16787
2/3/20,19887
2/4/20,23898
2/5/20,27643
2/6/20,30802
2/7/20,34395
2/8/20,37129
2/9/20,40159
2/10/20,42768
2/11/20,44810
2/12/20,45228
2/13/20,60381
2/14/20,66908
2/15/20,69050
2/16/20,71234
2/17/20,73269
2/18/20,75151
2/19/20,75651
2/20/20,76211
2/21/20,76840
2/22/20,78601
2/23/20,78981
2/24/20,79545
2/25/20,80398
2/26/20,81375
2/27/20,82735
2/28/20,84120
2/29/20,86013
3/1/20,88395
3/2/20,90373
3/3/20,92958
3/4/20,95273
3/5/20,98030
3/6/20,102025
3/7/20,106036
3/8/20,109994
3/9/20,113950
3/10/20,118965
3/11/20,126679
3/12/20,132481
3/13/20,146825
3/14/20,157857
3/15/20,169014
3/16/20,183683
3/17/20,199562
3/18/20,219214
3/19/20,247116
3/20/20,276706
3/21/20,309026
3/22/20,342393
3/23/20,384630
3/24/20,425787
3/25/20,476680
3/26/20,539549
3/27/20,604085
3/28/20,671663
3/29/20,731267
3/30/20,795997
3/31/20,872475
4/1/20,948663
4/2/20,1030010
4/3/20,1113203
4/4/20,1193711
4/5/20,1265377
4/6/20,1338067
4/7/20,1415186
4/8/20,1498895
4/9/20,1585483
4/10/20,1672988
4/11/20,1749872
4/12/20,1846819
4/13/20,1916464
4/14/20,1986284
4/15/20,2067245
4/16/20,2163941
4/17/20,2251672
4/18/20,2325556
4/19/20,2405885
4/20/20,2479307
4/21/20,2554750
4/22/20,2631576
4/23/20,2720583
4/24/20,2807495
4/25/20,2892296
4/26/20,2965076
4/27/20,3034072
4/28/20,3109425
4/29/20,3186589
4/30/20,3270117
5/1/20,3357276
5/2/20,3438689
5/3/20,3516333
5/4/20,3592506
5/5/20,3672660
5/6/20,3762727
5/7/20,3851894
5/8/20,3943470
5/9/20,4029169
5/10/20,4105292
5/11/20,4181640
5/12/20,4265367
5/13/20,4350206
5/14/20,4447281
5/15/20,4543711
5/16/20,4639021
5/17/20,4717335
5/18/20,4805823
5/19/20,4902461
5/20/20,5005574
5/21/20,5111869
5/22/20,5218664
5/23/20,5323977
5/24/20,5419242
5/25/20,5506311
5/26/20,5598982
5/27/20,5701734
5/28/20,5821183
5/29/20,5942378
5/30/20,6080002
5/31/20,6187396
6/1/20,6282981
6/2/20,6403944
6/3/20,6522099
6/4/20,6649014
6/5/20,6779972
6/6/20,6915760
6/7/20,7027674
6/8/20,7130092
6/9/20,7254608
6/10/20,7389151
6/11/20,7527086
6/12/20,7656149
6/13/20,7791901
6/14/20,7925110
6/15/20,8044663
6/16/20,8186473
6/17/20,8328685
6/18/20,8468705
6/19/20,8648774
6/20/20,8806595
6/21/20,8935273
6/22/20,9073260
6/23/20,9238052
6/24/20,9409498
6/25/20,9587195
6/26/20,9778566
6/27/20,9957498
6/28/20,10119644
6/29/20,10275992
6/30/20,10449832
7/1/20,10666930
7/2/20,10874417
7/3/20,11077903
7/4/20,11271954
7/5/20,11454850
7/6/20,11620802
7/7/20,11831641
7/8/20,12043466
7/9/20,12271553
7/10/20,12503942
7/11/20,12720381
7/12/20,12913142
7/13/20,13105192
7/14/20,13326971
7/15/20,13557898
7/16/20,13810459
7/17/20,14052261
7/18/20,14290096
7/19/20,14504853
7/20/20,14710995
7/21/20,14944726
7/22/20,15225164
7/23/20,15507881
7/24/20,15789074
7/25/20,16044757
7/26/20,16258079
7/27/20,16484206
7/28/20,16736727
7/29/20,17025889
7/30/20,17306523
7/31/20,17596559
8/1/20,17847574
8/2/20,18076718
8/3/20,18278778
8/4/20,18537524
8/5/20,18808754
8/6/20,19093901
8/7/20,19374812
8/8/20,19634542
8/9/20,19858792
8/10/20,20086280
8/11/20,20341107
8/12/20,20618174
8/13/20,20904123
8/14/20,21208474
8/15/20,21456826
8/16/20,21669376
8/17/20,21878471
8/18/20,22134679
8/19/20,22408212
8/20/20,22675329
8/21/20,22946050
8/22/20,23200536
8/23/20,23417487
8/24/20,23643821
8/25/20,23885837
8/26/20,24173588
8/27/20,24452689
8/28/20,24734448
8/29/20,24996456
