index,Cumulative,Month,Section
1/22/20,0,Jan,Second Jan
1/23/20,99,Jan,Second Jan
1/24/20,287,Jan,Second Jan
1/25/20,493,Jan,Second Jan
1/26/20,684,Jan,Second Jan
1/27/20,809,Jan,Second Jan
1/28/20,2651,Jan,Second Jan
1/29/20,588,Jan,Second Jan
1/30/20,2068,Jan,Second Jan
1/31/20,1692,Jan,Second Jan
02/01/20,2112,Feb,First Feb
02/02/20,4749,Feb,First Feb
02/03/20,3100,Feb,First Feb
02/04/20,4011,Feb,First Feb
02/05/20,3745,Feb,First Feb
02/06/20,3159,Feb,First Feb
02/07/20,3593,Feb,First Feb
02/08/20,2734,Feb,First Feb
02/09/20,3030,Feb,First Feb
02/10/20,2609,Feb,First Feb
02/11/20,2042,Feb,First Feb
02/12/20,418,Feb,First Feb
2/13/20,15153,Feb,First Feb
2/14/20,6527,Feb,First Feb
2/15/20,2142,Feb,First Feb
2/16/20,2184,Feb,Second Feb
2/17/20,2035,Feb,Second Feb
2/18/20,1882,Feb,Second Feb
2/19/20,500,Feb,Second Feb
2/20/20,560,Feb,Second Feb
2/21/20,629,Feb,Second Feb
2/22/20,1761,Feb,Second Feb
2/23/20,380,Feb,Second Feb
2/24/20,564,Feb,Second Feb
2/25/20,853,Feb,Second Feb
2/26/20,977,Feb,Second Feb
2/27/20,1360,Feb,Second Feb
2/28/20,1385,Feb,Second Feb
2/29/20,1893,Feb,Second Feb
03/01/20,2382,Mar,First Mar
03/02/20,1978,Mar,First Mar
03/03/20,2585,Mar,First Mar
03/04/20,2315,Mar,First Mar
03/05/20,2757,Mar,First Mar
03/06/20,3995,Mar,First Mar
03/07/20,4011,Mar,First Mar
03/08/20,3958,Mar,First Mar
03/09/20,3956,Mar,First Mar
03/10/20,5015,Mar,First Mar
03/11/20,7714,Mar,First Mar
03/12/20,5802,Mar,First Mar
3/13/20,14344,Mar,First Mar
3/14/20,11032,Mar,First Mar
3/15/20,11157,Mar,First Mar
3/16/20,14669,Mar,Second Mar
3/17/20,15879,Mar,Second Mar
3/18/20,19652,Mar,Second Mar
3/19/20,27902,Mar,Second Mar
3/20/20,29590,Mar,Second Mar
3/21/20,32320,Mar,Second Mar
